loc,title,image_loc,language,date,time
https://www.20min.ch/fr/story/ankara-pour-erdogan-netanyahu-nest-plus-quelquun-avec-qui-on-peut-parler-447221846616,"Pour Erdogan, Netanyahu n’est plus quelqu’un à qui on peut parler","https://cdn.unitycms.io/images/D5jSZ4OTaN3A0vbnehxsRZ.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=_ycJ7I8rpdA",NA,2023-11-04,12:04:50
https://www.20min.ch/fr/story/bangladesh-affrontements-entre-police-et-ouvriers-du-textile-en-greve-927245450453,Bangladesh: Affrontements entre police et ouvriers du textile,"https://cdn.unitycms.io/images/7JArdReD4yi9W8OHFt2hLo.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=GXzybh2rYUs",NA,2023-11-04,12:29:26
https://www.20min.ch/fr/story/russell-brand-vise-par-une-plainte-pour-agression-sexuelle-125749783099,Russell Brand visé par une plainte pour agression sexuelle,"https://cdn.unitycms.io/images/8fVF4YCkaa6BI8MZM-1mDJ.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=hqUEC9hC6I8",NA,2023-11-04,12:41:30
https://www.20min.ch/fr/story/une-procedure-deuthanasie-lancee-en-suisse-a-l-insu-du-malade-233263978775,Une procédure d’euthanasie lancée en Suisse à l'insu du malade,"https://cdn.unitycms.io/images/90mHtd7iKHu9LuKISZ7xva.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=ffQMLZbVkMA",NA,2023-11-04,12:41:53
https://www.20min.ch/fr/story/un-conseiller-de-giorgia-meloni-demissionne-apres-un-canular-141838352235,Un conseiller de Giorgia Meloni démissionne après un canular,"https://cdn.unitycms.io/images/AX_8yIcXabtBZuGbYMx5uv.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=fuJB6U1s1l0",NA,2023-11-04,13:14:09
https://www.20min.ch/fr/story/hockey-sur-glace-violences-apres-le-derby-zurichois-259599549198,Hockey sur glace: Violences urbaines après le derby zurichois ,https://cdn.unitycms.io/images/5kT_aEteq8i9RaC12jN1b7.gif,NA,2023-11-04,13:42:46
https://www.20min.ch/fr/story/geneve-manifestation-sauvage-pro-palestine-a-plainpalais-895204331913,Genève: Manifestation sauvage pro-Palestine à Plainpalais ,"https://cdn.unitycms.io/images/EPoRIG6S43a8ao-RJcJUXW.jpg?op=ocroped&val=1200,1200,987,572,396,0&sum=CW60o4BiKUI",NA,2023-11-04,13:48:43
https://www.20min.ch/fr/story/les-modeles-de-manteaux-tendance-pour-l-hiver-556801627307,Les vêtements tendance pour l'hiver,"https://cdn.unitycms.io/images/2IFbKmeJKPO9oUn0RvWQuk.jpg?op=ocroped&val=1200,1200,1000,549,239,0&sum=BytETalL7lw",NA,2023-11-04,14:00:00
https://www.20min.ch/fr/story/omnisports-les-gay-games-souvrent-a-hong-kong-874528710583,Omnisports: Les Gay Games s’ouvrent à Hong Kong,"https://cdn.unitycms.io/images/2l2IDlyeaTC97gsRbuEd3D.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=SxlynIBXGts",NA,2023-11-04,14:02:57
https://www.20min.ch/fr/story/friends-matthew-perry-a-ete-enterre-dans-lintimite-a-los-angeles-781192526434,«Friends»: Matthew Perry a été enterré dans l’intimité,"https://cdn.unitycms.io/images/AO7hvl8i48LAmA-Q-R18Wk.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=2ygbcNy8iDc",NA,2023-11-04,14:14:28
https://www.20min.ch/fr/story/iles-canaries-quatre-morts-lors-dune-nouvelle-arrivee-massive-de-migrants-292955379282,Canaries: Quatre morts lors d’une arrivée massive de migrants,"https://cdn.unitycms.io/images/9QZaTckUqanBHu8O8upaAK.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=P4bk-clwmnQ",NA,2023-11-04,14:52:01
https://www.20min.ch/fr/story/geneve-heurt-entre-un-deux-roues-et-une-voiture-deux-blesses-103223653166,Genève: accident entre un deux-roues et une voiture: deux blessés,"https://cdn.unitycms.io/images/BPOoZlW_abw8pTYEwd3Ndz.jpg?op=ocroped&val=1200,1200,665,561,439,173&sum=ABpviQFoW40",NA,2023-11-04,14:53:51
https://www.20min.ch/fr/story/jason-priestley-heros-inattendu-dun-telefilm-policier-francais-604135006584,"Jason Priestley, héros inattendu d’un téléfilm policier français","https://cdn.unitycms.io/images/DqjQhFaFaj98tYoWfluzYk.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=_SosW-LyY4I",NA,2023-11-04,14:54:56
https://www.20min.ch/fr/story/football-le-lausanne-sport-defie-le-fc-bale-a-la-tuiliere-285231718928,Football: Le LS s'impose facilement et enfonce toujours plus le FC Bâle en Super League,"https://cdn.unitycms.io/images/CJABqjL04c-9g7pkqqwBKa.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=X6vDgPmoRPg",NA,2023-11-04,15:31:58
https://www.20min.ch/fr/story/un-enfant-de-5-ans-retrouve-grievement-blesse-dans-la-rue-632145474682,Un enfant de 5 ans retrouvé grièvement blessé dans la rue,"https://cdn.unitycms.io/images/6YWYGCb-4ZNBGsUG4Gabqo.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=PkumdtQOQHk",NA,2023-11-04,15:40:47
https://www.20min.ch/fr/story/elections-federales-les-candidats-d-origine-etrangere-boycottes-603430717955,Elections fédérales: les candidats d'origine étrangère boycottés,"https://cdn.unitycms.io/images/EM7l39sIKMa8KSZwfsG01o.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=FGlYYXwMF6Y",NA,2023-11-04,15:45:01
https://www.20min.ch/fr/story/ukraine-pour-volodymyr-zelensky-la-guerre-nest-pas-dans-une-impasse-583802700916,"Ukraine: Pour Zelensky, la guerre n’est pas dans une «impasse»","https://cdn.unitycms.io/images/1X7X-Pri47AAHkDupy-p1I.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=p1SAplKmrgI",NA,2023-11-04,16:06:11
https://www.20min.ch/fr/story/la-gssa-lance-une-initiative-contre-le-rearmement-nucleaire-124406133330,La GSsA lance une initiative contre le réarmement nucléaire,"https://cdn.unitycms.io/images/0gLaphjAaOJ8Skpc5Fw-WJ.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=XcB64HGhNkc",NA,2023-11-04,16:13:48
https://www.20min.ch/fr/story/football-les-m18-d-arsenal-se-trompent-de-ville-leur-match-est-reporte-450716110749,"Football: Les M18 d'Arsenal se trompent de ville, leur match est reporté","https://cdn.unitycms.io/images/CFsZGd8paRZ9p936WiMkRM.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=09NGnIcgatU",NA,2023-11-04,16:45:32
https://www.20min.ch/fr/story/gaza-je-veux-quils-me-rattachent-mes-jambes-ils-peuvent-le-faire-892296634017,"Dans un hôpital de Gaza, le drame des enfants amputés","https://cdn.unitycms.io/images/1BdYy_uR48zAwTfFay3ofh.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=ALDYUL4iJp4",NA,2023-11-04,17:00:56
https://www.20min.ch/fr/story/football-le-real-madrid-dement-toute-negociation-avec-kylian-mbappe-918481833910,Football: Le Real Madrid dément toute négociation avec Kylian Mbappé,"https://cdn.unitycms.io/images/8_fJD-Md44EB21YOjz9RNR.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=GeInv8CXTdE",NA,2023-11-04,17:19:26
https://www.20min.ch/fr/story/geneve-la-future-bibliotheque-n-accueillira-pas-tous-les-livres-470781226395,Genève: La future bibliothèque n'accueillira pas tous les livres,"https://cdn.unitycms.io/images/E-Q5W5amKgQ9nDeRihaXfp.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=As-xa1DLliU",NA,2023-11-04,17:29:43
